카테고리,기능,HWPX 소스,구현 방법,상태,비고
문서구조,메타데이터 (제목/작성자),content.hpf → opf:metadata,opf:title 및 opf:meta[name=creator] 추출,완료,
문서구조,이미지 바이너리 캐싱,content.hpf → opf:item,BinData/ 하위 이미지를 base64 Data URI로 변환하여 imageMap 구축,완료,
문서구조,섹션(본문) 파싱,Contents/sectionN.xml,hs:sec → hp:p 및 hp:tbl 등 재귀 탐색,완료,
문서구조,추가 메타데이터,content.hpf → opf:meta,subject/lastsaveby/CreatedDate/ModifiedDate 추출,완료,ParseResult.metadata 확장
문서구조,스타일 정의 참조,hh:styles → hh:style,styleMap 구축 후 styleIDRef로 charPr+paraPr 폴백 클래스 적용,완료,paraPrIDRef/charPrIDRef 상속
페이지레이아웃,페이지 크기 (폭/높이),hp:pagePr → @_width @_height,HWPUNIT→mm 변환(÷283.465). CSS width min-height 적용,완료,
페이지레이아웃,가로 방향 (Landscape),hp:pagePr → @_landscape,landscape 속성 값이 존재하면(NARROWLY/WIDELY 무관) 가로 방향. width<height이면 swap,완료,NARROWLY도 가로 방향
페이지레이아웃,페이지 여백,hp:pagePr → hp:margin,@_top @_bottom @_left @_right @_header @_footer → CSS padding,완료,
페이지레이아웃,페이지네이션 (페이지 분할),브라우저 JS,overflow clip 방식: 전체 콘텐츠 렌더링 후 pageHeight 단위로 잘라서 표시,완료,표 행 중간에서도 자연스럽게 분할
페이지레이아웃,페이지 테두리/채움,hp:pageBorderFill,borderFillIDRef로 페이지 테두리 및 배경 채움 적용. BOTH/EVEN/ODD 타입 중 BOTH 우선,완료,secPr 처리 시 pageCss에 border/background 추가
페이지레이아웃,다단 설정,hp:ctrl → hp:colPr,colCount>1이면 CSS column-count + column-gap. colLine으로 column-rule 적용,완료,columnBreak도 처리
페이지레이아웃,머리글 (Header),hp:secPr → hp:header,applyPageType별 머리글 파싱 → 페이지네이션 JS에서 각 페이지 상단에 삽입,완료,hideFirstHeader 지원
페이지레이아웃,바닥글 (Footer),hp:secPr → hp:footer,applyPageType별 바닥글 파싱 → 페이지네이션 JS에서 각 페이지 하단에 삽입,완료,hideFirstFooter 지원
문자스타일,글꼴 크기,hh:charPr → @_height,height/100 → font-size: Xpt,완료,
문자스타일,글꼴 색상,hh:charPr → @_textColor,#000000과 none 제외하고 color: X 적용,완료,
문자스타일,굵게 (Bold),hh:charPr → hh:bold 또는 @_bold,font-weight: bold,완료,
문자스타일,기울임 (Italic),hh:charPr → hh:italic 또는 @_italic,font-style: italic,완료,
문자스타일,밑줄 (Underline),hh:charPr → hh:underline,type!='NONE'이면 text-decoration: underline + 색상,완료,
문자스타일,줄바꿈 (lineBreak),hp:t 내부 hp:lineBreak,hp:lineBreak를 \n으로 치환 후 HTML 변환 시 <br>로 출력,완료,셀 내 여러 줄 텍스트 지원
문자스타일,글꼴 이름,hh:charPr → hh:fontRef → hh:fontfaces,fontMap 구축 후 fontRef의 hangul/latin ID로 font face 이름 조회 → font-family CSS,완료,HANGUL 우선 + LATIN 폴백
문자스타일,자간 (Spacing),hh:charPr → hh:spacing,@_hangul 값 /100 → letter-spacing: Xpt (값≠0일 때),완료,
문자스타일,장평 (Ratio),hh:charPr → hh:ratio,@_hangul 값 /100 → display:inline-block + transform:scaleX (값≠100일 때),완료,
문자스타일,취소선 (Strikeout),hh:charPr → hh:strikeout,shape!='NONE'이면 text-decoration에 line-through 추가. underline과 합산,완료,
문자스타일,그림자 (Shadow),hh:charPr → hh:shadow,type!='NONE'이면 text-shadow: offsetX offsetY color,완료,
문자스타일,외곽선 (Outline),hh:charPr → hh:outline,type!='NONE'이면 -webkit-text-stroke: 1px currentColor,완료,
문자스타일,상대 크기 (relSz),hh:charPr → hh:relSz,@_hangul 값 ≠100이면 font-size에 비율 보정 적용,완료,
문자스타일,수직 오프셋 (offset),hh:charPr → hh:offset,@_hangul 값 ≠0이면 vertical-align: X%,완료,
문자스타일,글자 배경색,hh:charPr → @_shadeColor,값!='none'이면 background-color CSS 적용,완료,
문단스타일,수평 정렬,hh:align → @_horizontal,JUSTIFY/CENTER/RIGHT/LEFT → text-align,완료,
문단스타일,수직 정렬,hh:align → @_vertical,CENTER → vertical-align:middle / BOTTOM → vertical-align:bottom,완료,
문단스타일,줄간격,hh:lineSpacing,type=PERCENT이면 value/100 → line-height,완료,
문단스타일,문단 상단 간격 (prev),hh:margin → hc:prev,value/100 → margin-top: Xpt,완료,
문단스타일,문단 하단 간격 (next),hh:margin → hc:next,value/100 → margin-bottom: Xpt,완료,
문단스타일,왼쪽 여백,hh:margin → hc:left,value/100 → margin-left: Xpt,완료,
문단스타일,오른쪽 여백,hh:margin → hc:right,value/100 → margin-right: Xpt,완료,
문단스타일,들여쓰기,hh:margin → hc:intent,value/100 → text-indent: Xpt,완료,
문단스타일,hp:switch/hp:case 구조,hp:switch → hp:case / hp:default,margin과 lineSpacing이 switch 내부에 있는 경우도 파싱,완료,
문단스타일,글머리 기호 (Bullet),hh:heading type=BULLET + hh:bullets,bulletMap 구축 후 CSS ::before pseudo-element로 글머리 문자 삽입,완료,level별 들여쓰기 적용
문단스타일,번호 매기기 (Numbering),hh:heading type=NUMBER + hh:numberings,numberingMap 구축. CSS counter-increment + ::before로 번호 생성,완료,DIGIT/HANGUL_SYLLABLE/ROMAN 등 counterStyle 매핑
문단스타일,문단 테두리,hh:paraPr → hh:border,borderFillIDRef → borderFillMap 조회 → 4방향 border CSS + offset padding,완료,
문단스타일,탭 정지,hh:tabPr → hh:tabItem,tabPrMap 구축 (pos/type/leader). 탭 문자는 고정 너비 span으로 렌더링,완료,tabPrMap에 정보 저장
문단스타일,문단 분할 설정,hh:paraPr → hh:breakSetting,pageBreakBefore→break-before:page / keepWithNext→break-after:avoid / widowOrphan→orphans/widows,완료,
문단스타일,자동 간격,hh:paraPr → hh:autoSpacing,eAsianEng 또는 eAsianNum=1이면 word-spacing:0.1em,완료,
표,표 구조 파싱,hp:tbl → hp:tr → hp:tc,table → tr → td 변환,완료,
표,셀 병합 (colspan/rowspan),hp:tc → @_colSpan @_rowSpan,HTML colspan rowspan 속성 적용,완료,
표,표 전체 너비,hp:tbl → hp:sz → @_width,HWPUNIT→mm. table-layout: fixed; width: 100%,완료,
표,셀 너비,hp:tc → hp:cellSz → @_width,HWPUNIT 비율 → width: X%,완료,
표,셀 높이,hp:tc → hp:cellSz → @_height,HWPUNIT→mm. height: Xmm,완료,
표,셀 여백 (cellMargin),hp:tc → hp:cellMargin,@_top/bottom/left/right → CSS padding,완료,
표,표-문단 분리 출력,hp:run 내 hp:tbl,hp:run 내 hp:tbl이 있으면 div 밖으로 분리하여 top-level table로 출력,완료,페이지네이션 JS가 table 직접 인식
표,셀 테두리 색상/스타일,hh:borderFill → hh:topBorder/bottomBorder/leftBorder/rightBorder,borderFillMap 확장: type→CSS border-style / width 파싱 / color 적용. 개별 4방향,완료,SOLID/DOTTED/DASHED/DOUBLE/NONE 매핑
표,셀 배경색/채움,hh:borderFill → hc:fillBrush,winBrush(단색) + gradation(그라데이션) + imgBrush(이미지) 지원,완료,fillCss로 통합
표,제목 줄 자동 반복 (repeatHeader),hp:tbl → @_repeatHeader="1",첫 행을 thead로 감싸고 페이지네이션 JS에서 2페이지 이후 헤더 복제 삽입,완료,각 페이지 가용높이 보정
표,페이지 경계 하단 테두리,브라우저 JS,clipper div에 borderBottom 추가하여 표가 잘리는 지점에 수평선 표시,완료,마지막 페이지 제외
이미지,인라인 이미지 표시,hp:pic → hc:img → @_binaryItemIDRef,imageMap에서 Data URI 매핑 → img 태그,완료,
이미지,이미지 크기 적용,hp:pic → hp:curSz,curSz의 @_width/@_height → HWPUNIT→mm CSS width/height 적용,완료,curSz 없으면 max-width:100% 폴백
이미지,이미지 배치/위치,hp:pic → hp:pos,treatAsChar=0: block 배치 + horzAlign(CENTER→margin auto / RIGHT→margin-left auto),완료,treatAsChar=1: inline-block 유지
이미지,이미지 캡션,hp:pic → hp:caption,figure/figcaption 태그. side(TOP/BOTTOM) + gap(mm). subList를 extractHtml 재귀 파싱,완료,
이미지,이미지 크롭,hp:pic → hp:imgClip + hp:imgDim,dimwidth/dimheight 대비 clip 좌표 → clip-path:inset(%) CSS,완료,전체 영역과 clip 영역 다를 때만 적용
이미지,이미지 회전,hp:pic → hp:rotationInfo,@_angle → transform:rotate(Xdeg),완료,angle=0이면 미적용
이미지,이미지 플립,hp:pic → hp:flip,@_horizontal=1 → scaleX(-1) / @_vertical=1 → scaleY(-1). 회전과 합산,완료,
이미지,이미지 여백,hp:pic → hp:outMargin / hp:inMargin,outMargin → CSS margin / inMargin → CSS padding (HWPUNIT→mm),완료,값이 모두 0이면 미적용
컨트롤,하이퍼링크,hp:ctrl → hp:fieldBegin type="HYPERLINK",parameters/stringParam[name=Path]에서 URL 추출 → a 태그. fieldEnd에서 닫기,완료,상태 추적으로 다중 run 간 링크 유지
컨트롤,클릭 필드,hp:ctrl → hp:fieldBegin type="CLICK_HERE",표시에 영향 없는 필드 → 무시 처리,완료,뷰어에서 편집 불가이므로 생략
컨트롤,자동 번호 (autoNum),hp:ctrl → hp:autoNum,@_num 값을 텍스트로 직접 삽입,완료,
컨트롤,각주 (Footnote),hp:ctrl → hp:footNote,본문에 위첨자 번호 삽입 + 숨겨진 div로 내용 저장 → 페이지네이션 JS에서 페이지 하단에 배치,완료,separator line 포함
컨트롤,미주 (Endnote),hp:ctrl → hp:endNote,본문에 위첨자 번호 삽입 + 문서 끝에 모아서 표시,완료,
특수텍스트,탭 문자,hp:t → hp:tab,전처리로 \t 치환 → HTML에서 고정 너비 span으로 렌더링,완료,
특수텍스트,마크펜 (형광펜),hp:t → hp:markpenBegin/End,전처리로 PUA 마커 삽입 → HTML <mark> 태그로 변환. color 속성 반영,완료,
특수텍스트,비파괴 공백,hp:t → hp:nbSpace,전처리로 \u00A0 치환 → HTML &nbsp;,완료,
특수텍스트,전각 공백,hp:t → hp:fwSpace,전처리로 \u3000 치환,완료,
특수텍스트,페이지 번호,hp:t → hp:pageNum,전처리로 PUA 마커 → .hwpx-pagenum span → 페이지네이션 JS에서 실제 번호로 치환,완료,
특수텍스트,북마크,hp:t → hp:bookmark,전처리로 제거 (시각적 표시 없음),완료,
특수텍스트,하이픈,hp:t → hp:hyphen,전처리로 \u00AD (soft hyphen) 치환,완료,
도형,직선 (Line),hp:run → hp:line,SVG <line> 렌더링. startPt/endPt 좌표 + lineShape 스타일,완료,
도형,사각형 (Rect),hp:run → hp:rect,SVG <rect> 렌더링. sz 기반 크기 + fillBrush/lineShape,완료,
도형,타원 (Ellipse),hp:run → hp:ellipse,SVG <ellipse> 렌더링. sz 기반 반경,완료,
도형,다각형 (Polygon),hp:run → hp:polygon,SVG <polygon> 렌더링. hp:pt 좌표 배열,완료,
도형,호 (Arc),hp:run → hp:arc,SVG <ellipse> 폴백 렌더링,완료,
도형,곡선 (Curve),hp:run → hp:curve,SVG <path> 렌더링. hp:seg로 C/L 커맨드 생성,완료,
도형,연결선 (ConnectLine),hp:run → hp:connectLine,SVG <line> 렌더링. startPt/endPt,완료,
도형,그룹 도형 (Container),hp:run → hp:container,div relative 래퍼 + 자식 도형 재귀 렌더링,완료,중첩 컨테이너 지원
도형,도형 내부 텍스트,hp:textbox → hp:subList,SVG foreignObject로 HTML 삽입,완료,
수식,수식 (Equation),hp:run → hp:equation,hp:script 텍스트를 code 블록으로 표시. sz로 크기 적용,완료,한/글 수식 문법 그대로 표시
임베디드,OLE 객체,hp:run → hp:ole,binaryItemIDRef로 미리보기 이미지 표시. 없으면 placeholder,완료,
임베디드,텍스트 아트 (TextArt),hp:run → hp:textart,SVG <text> 렌더링. textartPr로 bold/italic 적용,완료,
폼,체크박스,hp:run → hp:checkBtn,HTML <input type=checkbox disabled> 렌더링,완료,읽기전용
폼,라디오 버튼,hp:run → hp:radioBtn,HTML <input type=radio disabled> 렌더링,완료,읽기전용
폼,텍스트 입력 (Edit),hp:run → hp:edit,defaultValue를 테두리 span으로 표시,완료,읽기전용
폼,콤보박스,hp:run → hp:comboBox,selectedValue의 displayText를 드롭다운 형태로 표시,완료,읽기전용
폼,버튼,hp:run → hp:btn,caption을 버튼 형태 span으로 표시,완료,읽기전용
텍스트합성,덧말 (Dutmal/Ruby),hp:run → hp:dutmal,HTML <ruby> 태그로 mainText + subText 렌더링,완료,
텍스트합성,글자 겹침 (Compose),hp:run → hp:compose,composeText를 inline-block span으로 표시,완료,
기타,숨은 설명 (Hidden Comment),hp:run → hp:hiddenComment,subList 내용을 title 속성으로 표시. 마우스 hover 시 보임,완료,
기타,변경 추적 마커,hp:insertBegin/End hp:deleteBegin/End,전처리로 제거 (뷰어에서 변경 추적 불필요),완료,
